City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,lesnoy,57.6198,63.0784,62.73,60,54,6.91,RU,1686797860
286,port alfred,-33.5906,26.891,51.19,76,84,1.99,ZA,1686797383
287,kone,-21.0595,164.8658,78.42,55,5,9.15,NC,1686797860
288,sabha,27.0377,14.4283,87.76,21,25,8.01,LY,1686797823
289,bonthe,7.5264,-12.505,77.5,85,65,6.2,SL,1686797427
290,serra talhada,-7.9919,-38.2983,69.22,95,14,6.82,BR,1686797861
291,al ghayzah,16.2079,52.176,84.25,78,53,2.3,YE,1686797861
292,oranjemund,-28.55,16.4333,56.55,79,75,9.35,NA,1686797421
293,kijang,35.2442,129.2139,71.33,71,0,5.86,KR,1686797807
294,buriti dos lopes,-3.175,-41.8669,71.42,93,0,3.6,BR,1686797861
295,shingu,33.7333,135.9833,69.82,98,100,6.53,JP,1686797275
296,princeville,45.7668,-61.2985,52.43,98,100,6.91,CA,1686797861
297,pirai do sul,-24.5261,-49.9486,55.74,99,100,5.53,BR,1686797861
298,ponta delgada,37.7333,-25.6667,66.92,100,40,10.36,PT,1686797439
299,hadibu,12.65,54.0333,82.18,80,100,19.71,YE,1686797408
300,mascotte,28.5783,-81.8867,83.98,78,4,7.02,US,1686797862
301,pechora,65.1472,57.2244,43.7,59,27,9.93,RU,1686797692
302,kastsyukowka,52.5387,30.9173,59.86,94,100,4.47,BY,1686797862
303,garhi khairo,28.0606,67.9803,89.46,51,0,12.37,PK,1686797862
304,las heras,-46.5419,-68.9359,38.79,82,66,9.71,AR,1686797862
305,cannonvale,-20.2833,148.7,74.59,64,22,8.39,AU,1686797390
306,puerto ayacucho,5.6639,-67.6236,75.33,95,100,1.61,VE,1686797863
307,tura,25.5198,90.2201,77.13,93,96,9.13,IN,1686797397
308,hasaki,35.7333,140.8333,77.29,86,100,8.55,JP,1686797863
309,marsa alam,25.0757,34.8918,82.83,55,0,14.76,EG,1686797866
310,pathein,16.7833,94.7333,85.62,70,81,8.97,MM,1686797866
311,cidreira,-30.1811,-50.2056,60.93,82,100,15.46,BR,1686797866
312,northam,51.0333,-4.2167,61.39,81,100,3.36,GB,1686797457
313,arica,-18.475,-70.3042,64.63,72,100,5.75,CL,1686797866
314,banda aceh,5.5577,95.3222,86.67,64,100,10.78,ID,1686797866
315,sampit,-2.5333,112.95,78.8,92,98,1.9,ID,1686797867
316,ta`u,-14.2336,-169.5144,80.76,81,100,13.73,AS,1686797867
317,grand-lahou,5.1367,-5.0242,76.84,77,78,9.48,CI,1686797793
318,krimpen aan den ijssel,51.9167,4.6028,63.0,76,2,4.61,NL,1686797867
319,pulivendla,14.4167,78.2333,86.41,55,29,19.84,IN,1686797867
320,bel ombre,-4.6167,55.4167,78.64,78,20,4.61,SC,1686797868
321,plastun,44.7561,136.2939,71.8,63,99,3.09,RU,1686797868
322,galliano,29.4422,-90.2992,82.99,83,6,13.71,US,1686797868
323,san fernando de apure,7.8878,-67.4724,73.69,98,100,5.23,VE,1686797636
324,corn island,12.1694,-83.0418,84.29,79,100,14.09,NI,1686797868
325,porto novo,6.4965,2.6036,80.42,91,100,5.91,BJ,1686797419
326,adamovka,51.5223,59.9396,66.65,32,45,6.35,RU,1686797868
327,tual,-5.6667,132.75,78.75,86,100,17.49,ID,1686797868
328,zheleznogorsk,52.331,35.3711,58.53,90,96,10.63,RU,1686797869
329,parras de la fuente,25.4167,-102.1833,85.98,19,8,13.91,MX,1686797781
330,sur,22.5667,59.5289,86.77,74,100,4.56,OM,1686797777
331,punta arenas,-53.15,-70.9167,35.71,87,40,17.27,CL,1686797396
332,nuuk,64.1835,-51.7216,34.41,86,13,5.75,GL,1686797398
333,zhaozhou,45.6833,125.3167,85.8,30,59,8.99,CN,1686797869
334,bandarbeyla,9.4942,50.8122,78.98,78,100,23.42,SO,1686797870
335,colonia,50.9333,6.95,60.94,73,0,2.3,DE,1686797393
336,nacozari de garcia,30.3742,-109.6908,76.35,12,39,9.95,MX,1686797870
337,ribeira brava,32.65,-17.0667,70.43,88,5,2.15,PT,1686797870
338,lorengau,-2.0226,147.2712,81.25,83,98,3.47,PG,1686797870
339,alofi,-19.0595,-169.9187,73.29,88,100,5.75,NU,1686797392
340,kawambwa,-9.7915,29.0791,55.31,50,23,3.94,ZM,1686797870
341,sudlohn,51.9333,6.8667,62.13,72,1,1.99,DE,1686797870
342,greymouth,-42.4667,171.2,54.7,61,78,3.38,NZ,1686797871
343,zeya,53.75,127.2667,72.05,28,15,4.07,RU,1686797434
344,madisonville,37.3281,-87.4989,69.66,83,53,4.81,US,1686797329
345,pamanukan,-6.2842,107.8106,85.71,60,94,5.88,ID,1686797871
346,jackson,42.4165,-122.8345,71.47,34,0,11.5,US,1686797690
347,san juan de miraflores,-12.1629,-76.9635,69.17,81,81,7.65,PE,1686797871
348,arraial do cabo,-22.9661,-42.0278,70.11,91,11,8.7,BR,1686797351
349,bhimunipatnam,17.8833,83.4333,87.31,51,86,9.98,IN,1686797871
350,nanjing,32.0617,118.7778,89.51,30,99,6.15,CN,1686797871
351,conception bay south,47.4999,-52.9981,47.35,93,94,5.93,CA,1686797872
352,borogontsy,62.6683,131.1683,64.74,44,98,10.16,RU,1686797872
353,union,40.6334,-74.2663,67.91,68,0,4.61,US,1686797872
354,micheweni,-4.9667,39.8333,76.1,75,80,8.61,TZ,1686797872
355,richfield,44.8833,-93.283,73.08,63,100,4.61,US,1686797632
356,nova venecia,-18.7106,-40.4006,67.37,96,14,0.89,BR,1686797872
357,castillos,-34.1667,-53.8333,43.54,87,3,1.88,UY,1686797452
358,bu'aale,1.0833,42.5833,70.79,95,92,4.85,SO,1686797873
359,arawa,-6.2132,155.5367,83.01,84,99,2.98,PG,1686797873
360,box elder,41.5005,-112.8764,67.26,65,84,6.11,US,1686797873
361,gumdag,39.2061,54.5906,85.42,33,97,11.92,TM,1686797433
362,soufriere,13.8562,-61.0566,82.89,83,40,25.32,LC,1686797873
363,tabriz,38.08,46.2919,62.06,63,20,4.61,IR,1686797873
364,poronaysk,49.2167,143.1167,62.04,79,77,13.96,RU,1686797451
365,champerico,14.3,-91.9167,83.62,79,97,3.89,GT,1686797790
